teachingClassID,courseNumber,courseName,teacherName,departmentName,teachingPlace,credit,hours,campusName
202120222010010000101,0100100001,《论语》,王立新,人文学院,1-18周 星期一 第3-4节 汇文楼H2-303,2,36,粤海校区
202120222010017000301,0100170003,《庄子》导读,黎业明,人文学院,1-18周 星期一 第11-12节 汇文楼H3-301,2,36,粤海校区
202120222010017000302,0100170003,《庄子》导读,李辰,人文学院,1-18周 星期二 第13-14节 汇文楼H3-203,2,36,粤海校区
202120222010019000301,0100190003,欧美现代小说研究,林艳,人文学院,1-18周 星期二 第11-12节 汇文楼H3-203,2,36,粤海校区
202120222010052000101,0100520001,当代诺贝尔文学奖小说研究,张霁,人文学院,1-18周 星期三 第9-10节 汇文楼H3-204,2,36,粤海校区
202120222010059000101,0100590001,当代西方文化思潮,金文野,人文学院,1-18周 星期四 第11-12节 汇紫楼A307,2,36,粤海校区
202120222010061000101,0100610001,当代新儒学,冯骏豪,人文学院,1-18周 星期三 第11-12节 汇文楼H2-303,2,36,粤海校区
202120222010076000101,0100760001,东方文学,杨晓霞,人文学院,1-18周 星期四 第7-8节 汇文楼H3-102,2,36,粤海校区
202120222010080000101,0100800001,儿童文学,张木荣,人文学院,1-18周 星期五 第7-8节 汇文楼H3-203,2,36,粤海校区
202120222010112000101,0101120001,古代汉语（下）,宫钦第,人文学院,1-18周 星期一 第7-8节 汇文楼H3-102,2,36,粤海校区
202120222010112000102,0101120001,古代汉语（下）,宫钦第,人文学院,1-18周 星期一 第3-4节 汇文楼H3-202,2,36,粤海校区
202120222010123000101,0101230001,中国古代文学（2）,李松荣,人文学院,1-18周 星期二 第7-9节 汇文楼H3-302,3,54,粤海校区
202120222010123000102,0101230001,中国古代文学（2）,李松荣,人文学院,1-18周 星期五 第3-5节 汇文楼H3-204,3,54,粤海校区
202120222010135000101,0101350001,古希腊哲学,赵东明,人文学院,1-18周 星期一 第9-10节 汇文楼H3-104,2,36,粤海校区
202120222010166000101,0101660001,基础写作（下）,张木荣,人文学院,1-18周 星期二 第3-4节 汇文楼H3-102,2,36,粤海校区
202120222010166000102,0101660001,基础写作（下）,张木荣,人文学院,1-18周 星期二 第7-8节 汇文楼H3-304,2,36,粤海校区
202120222010184000101,0101840001,康德、黑格尔哲学,赵东明,人文学院,1-18周 星期三 第9-10节 汇文楼H3-102,2,36,粤海校区
202120222010192001001,0101920010,现代汉语（下）,董理,人文学院,1-18周 星期三 第3-5节 汇文楼H3-203,3,54,粤海校区
202120222010192001002,0101920010,现代汉语（下）,丘学强,人文学院,1-18周 星期三 第3-5节 汇文楼H3-201,3,54,粤海校区
202120222010192001101,0101920011,中国古代文学（2）,黄金鹏,人文学院,1-18周 星期三 第3-4节 汇文楼H3-202,2,36,粤海校区
202120222010192001102,0101920011,中国古代文学（2）,黄金鹏,人文学院,1-18周 星期三 第7-8节 汇文楼H3-202,2,36,粤海校区
202120222010192001201,0101920012,中国古代文学（4）,高志忠,人文学院,1-18周 星期二 第3-4节 汇文楼H3-204,2,36,粤海校区
202120222010192001301,0101920013,古代汉语（上）,张静,人文学院,1-18周 星期四 第3-5节 汇文楼H3-103,3,54,粤海校区
202120222010192001302,0101920013,古代汉语（上）,张静,人文学院,1-18周 星期一 第3-5节 汇文楼H3-103,3,54,粤海校区
202120222010192001701,0101920017,中国戏曲史专题赏析,赵建坤,人文学院,1-18周 星期一 第11-12节 汇文楼H3-401,2,36,粤海校区
202120222010192002301,0101920023,中国近代诗歌赏析,张晓伟,人文学院,1-18周 星期四 第11-12节 汇文楼H3-203,2,36,粤海校区
202120222010192002801,0101920028,近现代历史框架下的漫画艺术,张晓语,人文学院,1-18周 星期一 第11-12节 汇文楼H3-304,2,36,粤海校区
202120222010192002802,0101920028,近现代历史框架下的漫画艺术,张晓语,人文学院,1-18周 星期二 第11-12节 南304,2,36,丽湖校区
202120222010192002901,0101920029,中国哲学的人概念,冯骏豪,人文学院,1-18周 星期四 第13-14节 汇文楼H3-204,2,36,粤海校区
202120222010192003001,0101920030,经典文学作品选读,李松荣,人文学院,1-18周 星期五 第1-2节 汇文楼H3-102,2,36,粤海校区
202120222010192003002,0101920030,经典文学作品选读,金春媛,人文学院,1-18周 星期四 第3-4节 汇文楼H3-203,2,36,粤海校区
202120222010192003003,0101920030,经典文学作品选读,柴婕,人文学院,1-18周 星期五 第3-4节 汇文楼H3-302,2,36,粤海校区
202120222010192003004,0101920030,经典文学作品选读,黄金鹏,人文学院,1-18周 星期四 第3-4节 汇文楼H3-204,2,36,粤海校区
202120222010192003005,0101920030,经典文学作品选读,黄金鹏,人文学院,1-18周 星期四 第7-8节 汇文楼H3-103,2,36,粤海校区
202120222010192003801,0101920038,哲学经典与人生,王帅,人文学院,1-18周 星期一 第1-2节 汇文楼H3-103,2,36,粤海校区
202120222010192003802,0101920038,哲学经典与人生,王帅,人文学院,1-18周 星期一 第3-4节 汇文楼H3-204,2,36,粤海校区
202120222010192003803,0101920038,哲学经典与人生,王立新,人文学院,1-18周 星期二 第9-10节 汇文楼H3-403,2,36,粤海校区
202120222010192004201,0101920042,科幻文学导论,江玉琴,人文学院,1-18周 星期五 第7-8节 汇文楼H3-202,2,36,粤海校区
202120222010192004601,0101920046,宋代诗话的美学世界,周萌,人文学院,1-18周 星期五 第3-4节 汇文楼H3-104,2,36,粤海校区
202120222010192004602,0101920046,宋代诗话的美学世界,肖浪,人文学院,1-18周 星期四 11-12节 汇文楼H2-202,2,36,粤海校区
202120222010192004801,0101920048,中国古典诗体研究与诗词创作,张晓伟,人文学院,1-18周 星期三 第11-12节 汇文楼H3-304,2,36,粤海校区
202120222010192005001,0101920050,阅读心理学,詹勇,人文学院,1-18周 星期二 第9-10节 汇文楼H5-101,2,36,粤海校区
202120222010192005101,0101920051,认知与学习障碍,董理,人文学院,1-18周 星期四 第9-10节 汇文楼H3-201,2,36,粤海校区
202120222010192005201,0101920052,生命伦理学,王帅,人文学院,1-18周 星期五 第3-4节 汇文楼H3-203,2,36,粤海校区
202120222010192005701,0101920057,体育中的中国近现代史,李兆旭,人文学院,1-18周 星期二 第11-12节 南307,2,36,丽湖校区
202120222010192005702,0101920057,体育中的中国近现代史,李兆旭,人文学院,1-18周 星期四 第9-10节 汇文楼H3-203,2,36,粤海校区
202120222010192006101,0101920061,教育研究方法,,人文学院,1-18周 星期六 3-4节 汇文楼H3-201,2,36,粤海校区
202120222010214000101,0102140001,普通话与教师口语,郭琦,人文学院,1-18周 星期四 第7-8节 师院A510,2,36,粤海校区
202120222010238000101,0102380001,《圣经》研究,林艳,人文学院,1-18周 星期二 第9-10节 汇文楼H3-303,2,36,粤海校区
202120222010252000101,0102520001,宋词鉴赏,唐小华,人文学院,1-18周 星期三 第11-12节 汇文楼H3-203,2,36,粤海校区
202120222010252000102,0102520001,宋词鉴赏,唐小华,人文学院,1-18周 星期三 13-14节 汇文楼H3-203,2,36,粤海校区
202120222010255000101,0102550001,唐诗鉴赏,唐小华,人文学院,1-18周 星期四 第11-12节 汇文楼H3-402,2,36,粤海校区
202120222010255000102,0102550001,唐诗鉴赏,唐小华,人文学院,1-18周 星期四 13-14节 汇文楼H3-402,2,36,粤海校区
202120222010265000101,0102650001,外国文学（下）,何志平,人文学院,1-18周 星期三 第6-8节 汇文楼H1-101,3,54,粤海校区
