courseNumber,courseName,departmentName,credit,hours,campusName,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl,teacherName,teachingPlace
0100100001,《论语》,人文学院,2.0,36,粤海校区,80.39999999999999,0.0,0.0,0.0,0.0,0.0,20.666666666666668,100.0,100.0,王立新,1-18周 星期一 第3-4节 汇文楼H2-303
0100170003,《庄子》导读,人文学院,2.0,36,粤海校区,78.25,4.35,1.0,2.0,8.7,0.0,15.5,100.0,100.0,"黎业明,李辰","1-18周 星期一 第11-12节 汇文楼H3-301
1-18周 星期二 第13-14节 汇文楼H3-203"
0100190003,欧美现代小说研究,人文学院,2.0,36,粤海校区,81.16,2.33,1.0,1.0,2.33,2.33,43.0,100.0,100.0,林艳,1-18周 星期二 第11-12节 汇文楼H3-203
0100520001,当代诺贝尔文学奖小说研究,人文学院,2.0,36,粤海校区,84.744,7.17,3.0,8.0,20.0,0.0,39.6,100.0,100.0,张霁,1-18周 星期三 第9-10节 汇文楼H3-204
0100590001,当代西方文化思潮,人文学院,2.0,36,粤海校区,81.8,1.585,1.0,2.0,3.17,0.0,51.5,100.0,100.0,金文野,1-18周 星期四 第11-12节 汇紫楼A307
0100610001,当代新儒学,人文学院,2.0,36,粤海校区,79.23666666666666,10.07,1.3333333333333333,2.0,15.38,7.14,13.333333333333334,100.0,100.0,冯骏豪,1-18周 星期三 第11-12节 汇文楼H2-303
0100760001,东方文学,人文学院,2.0,36,粤海校区,76.68,0.0,0.0,0.0,0.0,0.0,22.0,100.0,100.0,杨晓霞,1-18周 星期四 第7-8节 汇文楼H3-102
0100800001,儿童文学,人文学院,2.0,36,粤海校区,82.67,11.11,1.0,1.0,11.11,11.11,9.0,100.0,100.0,张木荣,1-18周 星期五 第7-8节 汇文楼H3-203
0101120001,古代汉语（下）,人文学院,2.0,36,粤海校区,76.83,4.45,6.333333333333333,11.0,7.62,0.0,118.66666666666669,100.0,100.0,"宫钦第,宫钦第","1-18周 星期一 第7-8节 汇文楼H3-102
1-18周 星期一 第3-4节 汇文楼H3-202"
0101230001,中国古代文学（2）,人文学院,3.0,54,粤海校区,78.95,2.686666666666667,3.6666666666666665,6.0,4.59,0.0,92.66666666666669,100.0,100.0,"李松荣,李松荣","1-18周 星期二 第7-9节 汇文楼H3-302
1-18周 星期五 第3-5节 汇文楼H3-204"
