KCH,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl
1101980026R,83.0,4.76,1.0,1,4.76,4.76,21.0,100.0,100.0
0510220001,81.155,3.845,0.5,1,7.69,0.0,14.0,100.0,100.0
0411740001,85.84,5.26,1.0,1,5.26,5.26,19.0,100.0,100.0
2701000027,85.81,7.41,2.0,2,7.41,7.41,27.0,100.0,100.0
0904870001,74.24,0.0,0.0,0,0.0,0.0,154.0,100.0,100.0
0412360001,67.0,0.0,0.0,0,0.0,0.0,4.0,100.0,100.0
2301110001,71.53,0.0,0.0,0,0.0,0.0,16.0,100.0,100.0
2205940001,78.42,3.335,1.0,2,6.67,0.0,29.5,100.0,100.0
2205700001,76.97,0.0,0.0,0,0.0,0.0,31.0,100.0,100.0
2701000032,72.3,1.62,3.0,3,1.62,1.62,180.0,100.0,100.0
25110002,85.9,10.0,3.0,3,10.0,10.0,30.0,100.0,100.0
1501990008,80.64500000000001,8.565,4.5,5,8.62,8.51,52.5,100.0,100.0
2202020001R,80.075,8.295,2.0,3,10.34,6.25,22.5,100.0,100.0
6301000002,87.06,59.38,19.0,19,59.38,59.38,32.0,100.0,100.0
9901690001,77.65666666666667,6.96,9.0,14,12.37,1.02,126.33333333333333,100.0,100.0
0710660001,78.6,0.0,0.0,0,0.0,0.0,20.0,100.0,100.0
1407400001,80.86666666666666,0.0,0.0,0,0.0,0.0,137.0,100.0,100.0
2002600001,85.04,9.136666666666667,3.6666666666666665,4,10.0,8.11,40.0,100.0,100.0
5301000002,84.51,8.82,6.0,6,8.82,8.82,67.0,100.0,100.0
2901000001,72.07,6.56,4.0,4,6.56,6.56,57.0,100.0,100.0
1229920001,80.005,6.4725,2.75,4,8.51,1.64,45.75,100.0,100.0
0101920004,84.71,9.52,4.0,4,9.52,9.52,42.0,100.0,100.0
2300780001,67.99333333333333,2.5633333333333335,0.3333333333333333,1,7.69,0.0,23.333333333333332,100.0,100.0
2500240001,84.82000000000001,9.046666666666667,3.0,5,10.0,7.14,31.333333333333332,100.0,100.0
0302840001,82.65,4.69,1.5,3,9.38,0.0,23.0,100.0,100.0
1905520001,74.86,14.29,6.0,6,14.29,14.29,42.0,100.0,100.0
1305030001,81.04,8.705,2.5,3,9.52,7.89,29.5,100.0,100.0
1201980054,71.05,2.56,1.0,1,2.56,2.56,39.0,100.0,100.0
0000050001,79.0,0.0,0.0,0,0.0,0.0,7.0,100.0,100.0
0510450001,80.67,7.705,2.0,2,8.0,7.41,26.0,100.0,100.0
2301320001,79.64,28.0,7.0,7,28.0,28.0,24.0,100.0,100.0
6401020002,68.25,0.0,0.0,0,0.0,0.0,8.0,100.0,100.0
1102150002R,88.0,28.57,2.0,2,28.57,28.57,7.0,100.0,100.0
2201990034,71.9,0.0,0.0,0,0.0,0.0,135.0,100.0,100.0
6300090001,79.27000000000001,3.4,1.0,1,4.76,2.04,35.0,100.0,100.0
0711100001,84.38,0.0,0.0,0,0.0,0.0,8.0,100.0,100.0
5601000004,83.25999999999999,11.325,4.5,6,11.54,11.11,40.0,100.0,100.0
