KCH,semester,xkrs,jgl,pjf,yxl
1101980026R,2020-2021学年第二学期,21.0,100.0,83.0,4.76
0510220001,2020-2021学年第二学期,13.0,100.0,83.31,7.69
0510220001,2020-2021学年第一学期,15.0,100.0,79.0,0.0
0510220001,2019-2020学年第二学期,17.0,100.0,79.59,0.0
0411740001,2018-2019学年第二学期,19.0,100.0,85.84,5.26
0411740001,2017-2018学年第二学期,25.0,100.0,84.31,0.0
2701000027,2020-2021学年第一学期,27.0,100.0,85.81,7.41
0904870001,2020-2021学年第二学期,154.0,100.0,74.24,0.0
0412360001,2020-2021学年第一学期,4.0,100.0,67.0,0.0
2301110001,2020-2021学年第二学期,16.0,100.0,71.53,0.0
2205940001,2020-2021学年第一学期,29.0,100.0,78.17,0.0
2205940001,2019-2020学年第一学期,30.0,100.0,78.67,6.67
2205700001,2020-2021学年第一学期,31.0,100.0,76.97,0.0
2701000032,2020-2021学年第一学期,180.0,100.0,72.3,1.62
25110002,2020-2021学年第一学期,30.0,100.0,85.9,10.0
1501990008,2020-2021学年第二学期,58.0,100.0,81.67,8.62
1501990008,2020-2021学年第一学期,47.0,100.0,79.62,8.51
2202020001R,2020-2021学年第一学期,29.0,100.0,81.9,10.34
2202020001R,2019-2020学年第一学期,16.0,100.0,78.25,6.25
6301000002,2020-2021学年第二学期,32.0,100.0,87.06,59.38
9901690001,2019-2020学年第一学期,98.0,100.0,76.33,1.02
9901690001,2018-2019学年第二学期,97.0,100.0,80.24,12.37
9901690001,2018-2019学年第一学期,184.0,100.0,76.4,7.49
9901690001,2017-2018学年第二学期,83.0,100.0,72.05,2.41
0710660001,2020-2021学年第二学期,20.0,100.0,78.6,0.0
0710660001,2019-2020学年第二学期,15.0,100.0,77.75,0.0
1407400001,2020-2021学年第一学期,135.0,100.0,81.36,0.0
1407400001,2019-2020学年第一学期,135.0,100.0,80.47,0.0
1407400001,2018-2019学年第一学期,141.0,100.0,80.77,0.0
2002600001,2020-2021学年第一学期,37.0,100.0,85.7,8.11
2002600001,2019-2020学年第一学期,43.0,100.0,84.14,9.3
